claude_item_id,source_item_id,claim_id,order
CF-000164,SA-000741,10328,164
CF-000165,SA-000137,194241,165
CF-000166,SA-000525,94829,166
CF-000167,SA-001005,147486,167
CF-000168,SA-000458,150693,168
CF-000169,SA-000700,95358,169
CF-000170,SA-000358,87838,170
CF-000171,SA-000146,29594,171
CF-000172,SA-000904,194800,172
CF-000173,SA-000094,120655,173
CF-000174,SA-000839,82883,174
CF-000175,SA-000204,12820,175
CF-000176,SA-000334,207010,176
CF-000177,SA-000312,21716,177
CF-000178,SA-000329,10689,178
CF-000179,SA-000966,108767,179
CF-000180,SA-000061,183938,180
CF-000181,SA-000954,93331,181
CF-000182,SA-000040,187789,182
CF-000183,SA-000191,28447,183
CF-000184,SA-000345,171629,184
CF-000185,SA-000510,223499,185
CF-000186,SA-000646,104930,186
CF-000187,SA-000499,22726,187
CF-000188,SA-000022,206453,188
CF-000189,SA-000313,89219,189
CF-000190,SA-000802,206465,190
CF-000191,SA-000566,89682,191
CF-000192,SA-000202,54742,192
CF-000193,SA-000172,189714,193
CF-000194,SA-000317,160508,194
CF-000195,SA-000583,26317,195
CF-000196,SA-000813,145866,196
CF-000197,SA-000758,98866,197
CF-000198,SA-000113,142025,198
CF-000199,SA-000605,118195,199
CF-000200,SA-000905,111121,200
CF-000201,SA-000155,68701,201
CF-000202,SA-001002,3019,202
CF-000203,SA-000730,42173,203
CF-000204,SA-000750,193883,204
CF-000205,SA-000560,25740,205
CF-000206,SA-000079,48658,206
CF-000207,SA-000436,89727,207
CF-000208,SA-001034,124719,208
CF-000209,SA-000107,52907,209
CF-000210,SA-000638,110147,210
CF-000211,SA-000154,14855,211
CF-000212,SA-001022,162881,212
CF-000213,SA-000357,12089,213
CF-000214,SA-000919,71124,214
CF-000215,SA-000549,182917,215
CF-000216,SA-000464,164999,216
CF-000217,SA-000581,205134,217
CF-000218,SA-000685,50074,218
CF-000219,SA-000853,12015,219
CF-000220,SA-000128,88865,220
CF-000221,SA-000898,148173,221
CF-000222,SA-000928,109461,222
CF-000223,SA-000884,20603,223
CF-000224,SA-000301,117447,224
CF-000225,SA-000363,59355,225
CF-000226,SA-000835,204654,226
